dis_along_flowline,area,mean_elevation,slope,bin_elevation,dx,width
401.84592551241786,55000.0,3545.580322265625,0.08458766341209412,3555.0,401.84592551241786,136.86837792337
523.4232955749885,80000.0,3524.32177734375,0.2732439637184143,3525.0,121.57737006257071,658.0171948021856
706.52065296561,262500.0,3493.857666015625,0.18398508429527283,3495.0,183.09735739062145,1433.6635096266314
823.2463922169034,265000.0,3466.568115234375,0.28401124477386475,3465.0,116.72573925129332,2270.2790464191794
921.3018401609829,252500.0,3435.509033203125,0.33442991971969604,3435.0,98.0554479440795,2575.0736475549975
1018.2539027164257,245000.0,3404.65869140625,0.3379541337490082,3405.0,96.95206255544275,2527.0220513348536
1120.4994477918929,292500.0,3374.136474609375,0.3216683566570282,3375.0,102.2455450754671,2860.7603371286905
1225.6382650067492,290000.0,3344.7626953125,0.3133920133113861,3345.0,105.13881721485623,2758.258155095763
1335.0856555540754,307500.0,3315.053955078125,0.3018040657043457,3315.0,109.44739054732626,2809.569040086283
1446.5614419874328,395000.0,3284.594482421875,0.29663166403770447,3285.0,111.47578643335748,3543.37038237572
1599.6682825016244,462500.0,3255.11962890625,0.21897245943546295,3255.0,153.10684051419167,3020.766403687432
1755.0463942472168,480000.0,3225.7001953125,0.21587079763412476,3225.0,155.37811174559238,3089.23821127345
1893.536065301186,455000.0,3195.189208984375,0.24123801290988922,3195.0,138.48967105396915,3285.4435752301515
2028.203660376321,480000.0,3164.76953125,0.247811421751976,3165.0,134.667595075135,3564.331862703822
2130.6232687826973,490000.0,3135.172119140625,0.3211585283279419,3135.0,102.41960840637631,4784.240123783701
2226.3083362163807,530000.0,3104.620361328125,0.34209001064300537,3105.0,95.68506743368344,5539.004300407978
2323.3056979194157,647500.0,3075.677978515625,0.3378080427646637,3075.0,96.99736170303508,6675.439296816869
2412.4716044532033,587500.0,3044.889404296875,0.36500245332717896,3045.0,89.16590653378749,6588.841215643107
2506.1843207722927,565000.0,3014.94873046875,0.3487253785133362,3015.0,93.7127163190895,6029.0643809340545
2628.973426084006,685000.0,2984.6337890625,0.2706778645515442,2985.0,122.78910531171323,5578.670829639605
2860.2043943983476,690000.0,2954.306640625,0.14629991352558136,2955.0,231.23096831434182,2984.0293669574344
3125.4037701261504,635000.0,2924.85400390625,0.12777884304523468,2925.0,265.199375727803,2394.424942582653
3431.243382422297,660000.0,2895.06640625,0.11094896495342255,2895.0,305.83961229614675,2157.9938420825524
4034.193871570215,845000.0,2864.564453125,0.05644959583878517,2865.0,602.9504891479177,1401.4417687829457
4519.353113290548,587500.0,2835.806396484375,0.07011441886425018,2835.0,485.15924172033357,1210.942613226896
4871.012601226677,440000.0,2805.84521484375,0.09658913314342499,2805.0,351.6594879361296,1251.2103756458728
5219.462588246062,345000.0,2775.2626953125,0.09747319668531418,2775.0,348.44998701938505,990.0990467846018
5572.9695474012,305000.0,2745.81787109375,0.09608745574951172,2745.0,353.50695915513694,862.783580637094
5755.345827418152,220000.0,2714.907958984375,0.18469612300395966,2715.0,182.37628001695265,1206.2972223117506
5935.186706355163,207500.0,2684.748779296875,0.18723994493484497,2685.0,179.84087893701064,1153.7977417952732
6202.721985641041,297500.0,2654.83203125,0.12667512893676758,2655.0,267.53527928587846,1112.0028760098676
6526.000626050204,392500.0,2625.093017578125,0.1050090417265892,2625.0,323.27864040916324,1214.1228987576337
6978.569382222141,415000.0,2595.0048828125,0.0751451626420021,2595.0,452.56875617193714,916.9877379744167
7246.658776283129,282500.0,2566.43115234375,0.12641608715057373,2565.0,268.0893940609872,1053.752987840073
7551.765730049434,260000.0,2534.919677734375,0.11121319979429245,2535.0,305.1069537663048,852.1601910100867
7878.947869119119,237500.0,2505.71484375,0.10376524180173874,2505.0,327.1821390696849,725.8953703136467
8149.833006402059,195000.0,2475.797607421875,0.12512502074241638,2475.0,270.88513728294043,719.8623075297108
8360.173842283946,135000.0,2445.750244140625,0.1605921983718872,2445.0,210.34083588188628,641.8154583915755
8542.265339083251,117500.0,2414.837890625,0.1849784404039383,2415.0,182.0914967993057,645.2799942080986
8774.023036391274,152500.0,2383.7294921875,0.1459721177816391,2385.0,231.7576973080231,658.0148222534168
9089.265539134774,235000.0,2355.404541015625,0.1076655387878418,2355.0,315.2425027435,745.4578553172125
9382.017851022663,160000.0,2326.8388671875,0.11586552858352661,2325.0,292.75231188788825,546.53710151151
9574.424022041292,80000.0,2296.655029296875,0.17526932060718536,2295.0,192.40617101862807,415.7870798866149
9715.007975475437,52500.0,2266.34814453125,0.2377791702747345,2265.0,140.58395343414432,373.4423361809447
9908.000000000002,40000.0,2239.6708984375,0.17474804818630219,2235.0,192.99202452456402,207.26245086313813
